14:33:45:032 -> Received: 0
14:33:45:032 -> Servos attached (enabled).
14:33:45:032 -> Enter next command:
14:33:45:041 -> Moving servos (us): 2400
14:33:45:041 -> Moving servos (us): 2400
14:33:45:041 -> Moving servos (us): 2399
14:33:45:043 -> Moving servos (us): 2398
14:33:45:043 -> Moving servos (us): 2397
14:33:45:048 -> Moving servos (us): 2397
14:33:45:048 -> Moving servos (us): 2396
14:33:45:048 -> Moving servos (us): 2395
14:33:45:054 -> Moving servos (us): 2395
14:33:45:054 -> 27384,2395,S0=5.23 mA, S1=5.32 mA, S2=4.88 mA, S3=5.30 mA, S4=5.25 mA
14:33:45:060 -> FSR Live: PB0=0.00, PA7=0.00, PA6=0.00, PA5=0.00, PA4=0.00, PA3=0.00, PA2=0.00, PA1=0.00, PA0=0.00
14:33:45:071 -> Moving servos (us): 2391
14:33:45:071 -> Moving servos (us): 2390
14:33:45:076 -> Moving servos (us): 2390
14:33:45:076 -> Moving servos (us): 2389
14:33:45:081 -> Moving servos (us): 2388
14:33:45:081 -> Moving servos (us): 2388
14:33:45:087 -> Moving servos (us): 2388
14:33:45:087 -> Moving servos (us): 2387
14:33:45:087 -> Moving servos (us): 2386
14:33:45:092 -> Moving servos (us): 2386
14:33:45:092 -> Moving servos (us): 2386
14:33:45:098 -> Moving servos (us): 2385
14:33:45:098 -> Moving servos (us): 2385
14:33:45:098 -> Moving servos (us): 2383
14:33:45:103 -> Moving servos (us): 2383
14:33:45:103 -> Moving servos (us): 2383
14:33:45:108 -> Moving servos (us): 2382
14:33:45:108 -> Moving servos (us): 2382
14:33:45:116 -> Moving servos (us): 2381
14:33:45:116 -> Moving servos (us): 2381
14:33:45:116 -> Moving servos (us): 2381
14:33:45:119 -> Moving servos (us): 2379
14:33:45:119 -> Moving servos (us): 2379
14:33:45:124 -> Moving servos (us): 2378
14:33:45:124 -> Moving servos (us): 2378
14:33:45:130 -> Moving servos (us): 2378
14:33:45:130 -> Moving servos (us): 2377
14:33:45:130 -> Moving servos (us): 2376
14:33:45:135 -> Moving servos (us): 2376
14:33:45:135 -> Moving servos (us): 2375
14:33:45:141 -> Moving servos (us): 2374
14:33:45:141 -> Moving servos (us): 2374
14:33:45:141 -> Moving servos (us): 2374
14:33:45:146 -> Moving servos (us): 2373
14:33:45:146 -> Moving servos (us): 2373
14:33:45:151 -> Moving servos (us): 2371
14:33:45:151 -> Moving servos (us): 2371
