Shampoo Bottle grasping and Ungrasping
14:23:33:736 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:736 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:736 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:736 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:736 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:737 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:738 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
14:23:33:739 -> , S1=49.30 mA, S2=45.30 mA, S3=50.90 mA, S4=54.22 mA
