14:27:54:005 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:005 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:005 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:005 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:005 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:005 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:005 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:007 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:008 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:008 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:008 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:008 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:008 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:008 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:009 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:009 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
14:27:54:009 -> A3=16.15, PA2=0.04, PA1=0.08, PA0=0.04
