18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:431 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:432 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:433 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:433 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:433 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:433 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:433 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:433 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
18:12:08:433 -> , S1=5.38 mA, S2=4.85 mA, S3=5.25 mA, S4=5.23 mA
