21:26:37:368 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:368 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:368 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:368 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:368 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:368 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:368 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:368 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:369 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:370 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:370 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
21:26:37:370 -> PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=1.00
