21:29:25:215 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:215 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:215 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:215 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:215 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:215 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:216 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
21:29:25:217 -> 0, PA4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
