21:48:13:757 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:757 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:757 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:757 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:757 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:757 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:758 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:759 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:760 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:761 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:762 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:765 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
21:48:13:766 -> =0.00, PA3=18.00, PA2=0.00, PA1=0.00, PA0=0.00
