12:43:57:132 -> 117380,2400,S0=-0.05 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=-0.03 mA
12:43:57:137 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:57:331 -> 117580,2400,S0=-0.03 mA, S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
12:43:57:337 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:57:531 -> 117780,2400,S0=-0.03 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=0.00 mA
12:43:57:537 -> FSR Live: PB0=0.00, PA7=0.00, PA6=29.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:57:732 -> 117980,2400,S0=-0.05 mA, S1=0.05 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
12:43:57:737 -> FSR Live: PB0=0.00, PA7=0.00, PA6=29.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:57:932 -> 118180,2400,S0=0.00 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=-0.03 mA
12:43:57:937 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=1.00
12:43:58:132 -> 118380,2400,S0=-0.03 mA, S1=0.00 mA, S2=0.00 mA, S3=0.03 mA, S4=0.03 mA
12:43:58:137 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:58:332 -> 118580,2400,S0=-0.03 mA, S1=0.00 mA, S2=-0.03 mA, S3=-0.03 mA, S4=0.00 mA
12:43:58:337 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:58:532 -> 118780,2400,S0=-0.05 mA, S1=-0.03 mA, S2=-0.03 mA, S3=0.00 mA, S4=-0.03 mA
12:43:58:537 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:58:732 -> 118980,2400,S0=-0.03 mA, S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
12:43:58:737 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:58:932 -> 119180,2400,S0=-0.03 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=-0.03 mA
12:43:58:937 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:59:131 -> 119380,2400,S0=-0.03 mA, S1=0.03 mA, S2=0.03 mA, S3=0.00 mA, S4=0.00 mA
12:43:59:137 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:59:331 -> 119580,2400,S0=-0.03 mA, S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
12:43:59:337 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:59:532 -> 119780,2400,S0=-0.03 mA, S1=-0.03 mA, S2=-0.03 mA, S3=0.00 mA, S4=0.00 mA
12:43:59:537 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=8.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:59:731 -> 119980,2400,S0=-0.05 mA, S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
12:43:59:737 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:43:59:932 -> 120180,2400,S0=-0.03 mA, S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.03 mA
12:43:59:937 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:00:131 -> 120380,2400,S0=-0.05 mA, S1=-0.03 mA, S2=0.00 mA, S3=-0.03 mA, S4=0.03 mA
12:44:00:137 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:00:331 -> 120580,2400,S0=-0.03 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=0.00 mA
12:44:00:337 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=1.00, PA1=0.00, PA0=0.00
12:44:00:532 -> 120780,2400,S0=-0.03 mA, S1=-0.03 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
12:44:00:537 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:00:731 -> 120980,2400,S0=-0.03 mA, S1=0.00 mA, S2=-0.05 mA, S3=-0.03 mA, S4=0.00 mA
12:44:00:737 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=1.00, PA3=9.00, PA2=0.00, PA1=1.00, PA0=0.00
12:44:00:932 -> 121180,2400,S0=-0.03 mA, S1=0.00 mA, S2=-0.03 mA, S3=-0.03 mA, S4=-0.03 mA
12:44:00:937 -> FSR Live: PB0=0.00, PA7=0.00, PA6=29.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:01:132 -> 121380,2400,S0=-0.05 mA, S1=-0.03 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
12:44:01:137 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:01:331 -> 121580,2400,S0=-0.03 mA, S1=0.03 mA, S2=-0.03 mA, S3=-0.03 mA, S4=0.00 mA
12:44:01:337 -> FSR Live: PB0=0.00, PA7=0.00, PA6=31.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:01:531 -> 121780,2400,S0=-0.03 mA, S1=0.03 mA, S2=-0.05 mA, S3=0.00 mA, S4=-0.03 mA
12:44:01:537 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:01:732 -> 121980,2400,S0=-0.05 mA, S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=0.00 mA
12:44:01:737 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:01:932 -> 122180,2400,S0=-0.05 mA, S1=-0.03 mA, S2=-0.03 mA, S3=0.03 mA, S4=0.00 mA
12:44:01:937 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=1.00, PA0=0.00
12:44:02:132 -> 122380,2400,S0=-0.05 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=0.00 mA
12:44:02:137 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:02:331 -> 122580,2400,S0=0.00 mA, S1=0.03 mA, S2=-0.03 mA, S3=0.00 mA, S4=0.00 mA
12:44:02:337 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:02:477 -> Received: 0
12:44:02:477 -> Servos attached (enabled).
12:44:02:477 -> Enter next command:
12:44:02:482 -> Moving servos (us): 2400
12:44:02:482 -> Moving servos (us): 2399
12:44:02:482 -> Moving servos (us): 2399
12:44:02:488 -> Moving servos (us): 2398
12:44:02:488 -> Moving servos (us): 2398
12:44:02:493 -> Moving servos (us): 2397
12:44:02:493 -> Moving servos (us): 2396
12:44:02:493 -> Moving servos (us): 2395
12:44:02:499 -> Moving servos (us): 2395
12:44:02:499 -> Moving servos (us): 2394
12:44:02:504 -> Moving servos (us): 2394
12:44:02:504 -> Moving servos (us): 2394
12:44:02:509 -> Moving servos (us): 2393
12:44:02:509 -> Moving servos (us): 2393
12:44:02:509 -> Moving servos (us): 2391
12:44:02:515 -> Moving servos (us): 2391
12:44:02:515 -> Moving servos (us): 2391
12:44:02:520 -> Moving servos (us): 2390
12:44:02:520 -> Moving servos (us): 2390
12:44:02:520 -> Moving servos (us): 2389
12:44:02:525 -> Moving servos (us): 2388
12:44:02:525 -> Moving servos (us): 2388
12:44:02:531 -> Moving servos (us): 2388
12:44:02:531 -> 122783,2388,S0=-0.03 mA, S1=0.00 mA, S2=-0.03 mA, S3=0.00 mA, S4=0.00 mA
12:44:02:536 -> Moving servos (us): 2386
12:44:02:541 -> FSR Live: PB0=0.00, PA7=0.00, PA6=31.00, PA5=0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:02:547 -> Moving servos (us): 2383
12:44:02:552 -> Moving servos (us): 2382
12:44:02:552 -> Moving servos (us): 2382
12:44:02:558 -> Moving servos (us): 2381
12:44:02:558 -> Moving servos (us): 2381
12:44:02:563 -> Moving servos (us): 2380
12:44:02:563 -> Moving servos (us): 2380
12:44:02:563 -> Moving servos (us): 2379
12:44:02:568 -> Moving servos (us): 2378
12:44:02:568 -> Moving servos (us): 2378
12:44:02:574 -> Moving servos (us): 2378
12:44:02:574 -> Moving servos (us): 2377
12:44:02:574 -> Moving servos (us): 2377
12:44:02:579 -> Moving servos (us): 2376
12:44:02:579 -> Moving servos (us): 2375
12:44:02:585 -> Moving servos (us): 2375
12:44:02:585 -> Moving servos (us): 2374
12:44:02:590 -> Moving servos (us): 2374
12:44:02:590 -> Moving servos (us): 2373
12:44:02:590 -> Moving servos (us): 2373
12:44:02:596 -> Moving servos (us): 2373
12:44:02:596 -> Moving servos (us): 2371
12:44:02:601 -> Moving servos (us): 2371
12:44:02:601 -> Moving servos (us): 2370
12:44:02:601 -> Moving servos (us): 2370
12:44:02:606 -> Moving servos (us): 2369
12:44:02:606 -> Moving servos (us): 2369
12:44:02:612 -> Moving servos (us): 2368
12:44:02:612 -> Moving servos (us): 2368
12:44:02:617 -> Moving servos (us): 2367
12:44:02:617 -> Moving servos (us): 2366
12:44:02:617 -> Moving servos (us): 2366
12:44:02:623 -> Moving servos (us): 2366
12:44:02:623 -> Moving servos (us): 2365
12:44:02:628 -> Moving servos (us): 2365
12:44:02:628 -> Moving servos (us): 2363
12:44:02:633 -> Moving servos (us): 2363
12:44:02:633 -> Moving servos (us): 2363
12:44:02:633 -> Moving servos (us): 2363
12:44:02:639 -> Moving servos (us): 2362
12:44:02:639 -> Moving servos (us): 2361
12:44:02:644 -> Moving servos (us): 2361
12:44:02:644 -> Moving servos (us): 2360
12:44:02:644 -> Moving servos (us): 2360
12:44:02:650 -> Moving servos (us): 2359
12:44:02:650 -> Moving servos (us): 2358
12:44:02:655 -> Moving servos (us): 2358
12:44:02:655 -> Moving servos (us): 2358
12:44:02:661 -> Moving servos (us): 2357
12:44:02:661 -> Moving servos (us): 2357
12:44:02:661 -> Moving servos (us): 2356
12:44:02:666 -> Moving servos (us): 2355
12:44:02:666 -> Moving servos (us): 2355
12:44:02:671 -> Moving servos (us): 2355
12:44:02:671 -> Moving servos (us): 2354
12:44:02:671 -> Moving servos (us): 2353
12:44:02:677 -> Moving servos (us): 2353
12:44:02:677 -> Moving servos (us): 2352
12:44:02:683 -> Moving servos (us): 2352
12:44:02:683 -> Moving servos (us): 2352
12:44:02:688 -> Moving servos (us): 2350
12:44:02:688 -> Moving servos (us): 2350
12:44:02:688 -> Moving servos (us): 2349
12:44:02:693 -> Moving servos (us): 2349
12:44:02:693 -> Moving servos (us): 2348
12:44:02:699 -> Moving servos (us): 2348
12:44:02:699 -> Moving servos (us): 2348
12:44:02:704 -> Moving servos (us): 2346
12:44:02:704 -> Moving servos (us): 2346
12:44:02:704 -> Moving servos (us): 2346
12:44:02:709 -> Moving servos (us): 2346
12:44:02:709 -> Moving servos (us): 2345
12:44:02:714 -> Moving servos (us): 2344
12:44:02:714 -> Moving servos (us): 2343
12:44:02:714 -> Moving servos (us): 2343
12:44:02:720 -> Moving servos (us): 2342
12:44:02:720 -> Moving servos (us): 2342
12:44:02:725 -> Moving servos (us): 2341
12:44:02:725 -> Moving servos (us): 2341
12:44:02:733 -> Moving servos (us): 2341
12:44:02:733 -> 122984,2341,S0=-0.03 mA, S1=0.03 mA, S2=-0.03 mA, S3=0.03 mA, S4=0.00 mA
12:44:02:737 -> Moving servos (us): 2338
12:44:02:743 -> Moving servos (us): 2338
12:44:02:743 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.00, PA5=0.00, PA4=0.00, PA3=9.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:02:754 -> Moving servos (us): 2335
12:44:02:754 -> Moving servos (us): 2334
12:44:02:754 -> Moving servos (us): 2334
12:44:02:759 -> Moving servos (us): 2333
12:44:02:759 -> Moving servos (us): 2333
12:44:02:765 -> Moving servos (us): 2332
12:44:02:765 -> Moving servos (us): 2331
12:44:02:776 -> Moving servos (us): 2331
12:44:02:776 -> Moving servos (us): 2330
12:44:02:776 -> Moving servos (us): 2330
12:44:02:780 -> Moving servos (us): 2330
12:44:02:780 -> Moving servos (us): 2329
12:44:02:781 -> Moving servos (us): 2329
12:44:02:781 -> Moving servos (us): 2328
12:44:02:781 -> Moving servos (us): 2327
12:44:02:786 -> Moving servos (us): 2327
12:44:02:786 -> Moving servos (us): 2326
12:44:02:793 -> Moving servos (us): 2326
12:44:02:793 -> Moving servos (us): 2325
12:44:02:800 -> Moving servos (us): 2325
12:44:02:800 -> Moving servos (us): 2324
12:44:02:800 -> Moving servos (us): 2323
12:44:02:802 -> Moving servos (us): 2323
12:44:02:802 -> Moving servos (us): 2322
12:44:02:808 -> Moving servos (us): 2322
12:44:02:808 -> Moving servos (us): 2321
12:44:02:815 -> Moving servos (us): 2320
12:44:02:815 -> Moving servos (us): 2320
12:44:02:815 -> Moving servos (us): 2320
12:44:02:819 -> Moving servos (us): 2319
12:44:02:819 -> Moving servos (us): 2318
12:44:02:824 -> Moving servos (us): 2318
12:44:02:824 -> Moving servos (us): 2318
12:44:02:824 -> Moving servos (us): 2317
12:44:02:829 -> Moving servos (us): 2317
12:44:02:829 -> Moving servos (us): 2315
12:44:02:835 -> Moving servos (us): 2315
12:44:02:835 -> Moving servos (us): 2315
12:44:02:840 -> Moving servos (us): 2315
12:44:02:840 -> Moving servos (us): 2314
12:44:02:840 -> Moving servos (us): 2313
12:44:02:846 -> Moving servos (us): 2313
12:44:02:846 -> Moving servos (us): 2312
12:44:02:851 -> Moving servos (us): 2312
12:44:02:851 -> Moving servos (us): 2311
12:44:02:851 -> Moving servos (us): 2310
12:44:02:857 -> Moving servos (us): 2310
12:44:02:857 -> Moving servos (us): 2310
12:44:02:862 -> Moving servos (us): 2309
12:44:02:862 -> Moving servos (us): 2309
12:44:02:869 -> Moving servos (us): 2308
12:44:02:869 -> Moving servos (us): 2307
12:44:02:869 -> Moving servos (us): 2306
12:44:02:873 -> Moving servos (us): 2306
12:44:02:873 -> Moving servos (us): 2306
12:44:02:878 -> Moving servos (us): 2305
12:44:02:878 -> Moving servos (us): 2305
12:44:02:883 -> Moving servos (us): 2304
12:44:02:883 -> Moving servos (us): 2303
12:44:02:883 -> Moving servos (us): 2303
12:44:02:889 -> Moving servos (us): 2303
12:44:02:889 -> Moving servos (us): 2302
12:44:02:894 -> Moving servos (us): 2301
12:44:02:894 -> Moving servos (us): 2301
12:44:02:894 -> Moving servos (us): 2300
12:44:02:900 -> Moving servos (us): 2300
12:44:02:900 -> Moving servos (us): 2300
12:44:02:905 -> Moving servos (us): 2298
12:44:02:905 -> Moving servos (us): 2298
12:44:02:912 -> Moving servos (us): 2298
12:44:02:912 -> Moving servos (us): 2297
12:44:02:912 -> Moving servos (us): 2297
12:44:02:916 -> Moving servos (us): 2296
12:44:02:916 -> Moving servos (us): 2296
12:44:02:921 -> Moving servos (us): 2295
