12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:654 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:655 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:656 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:656 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:656 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:656 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:656 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:656 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:656 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:657 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:658 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:659 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:659 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:659 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:659 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:659 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:659 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:659 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:660 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:661 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:662 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:662 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:662 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:662 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:663 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:663 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:664 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:667 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:671 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:671 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:671 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:671 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:671 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:671 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
12:44:34:671 -> 0.00, PA4=0.00, PA3=10.00, PA2=0.00, PA1=0.00, PA0=0.00
