12:59:10:499 -> 73343,2400,S0=56.38 mA, S1=49.65 mA, S2=65.32 mA, S3=53.13 mA, S4=77.18 mA
12:59:10:504 -> FSR Live: PB0=0.00, PA7=0.00, PA6=21.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:10:699 -> 73543,2400,S0=43.90 mA, S1=68.15 mA, S2=66.00 mA, S3=52.63 mA, S4=76.43 mA
12:59:10:704 -> FSR Live: PB0=1.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=1.00
12:59:10:899 -> 73743,2400,S0=45.55 mA, S1=40.72 mA, S2=66.20 mA, S3=53.18 mA, S4=55.53 mA
12:59:10:904 -> FSR Live: PB0=0.00, PA7=0.00, PA6=21.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=1.00, PA0=0.00
12:59:11:099 -> 73943,2400,S0=54.83 mA, S1=49.70 mA, S2=65.55 mA, S3=53.20 mA, S4=43.70 mA
12:59:11:104 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:11:299 -> 74143,2400,S0=55.80 mA, S1=48.40 mA, S2=65.32 mA, S3=53.10 mA, S4=73.47 mA
12:59:11:304 -> FSR Live: PB0=0.00, PA7=0.00, PA6=21.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=1.00
12:59:11:499 -> 74343,2400,S0=57.00 mA, S1=49.97 mA, S2=65.52 mA, S3=54.15 mA, S4=53.80 mA
12:59:11:504 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:11:699 -> 74543,2400,S0=55.90 mA, S1=64.95 mA, S2=66.10 mA, S3=53.33 mA, S4=41.93 mA
12:59:11:704 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:11:899 -> 74743,2400,S0=43.83 mA, S1=50.63 mA, S2=66.10 mA, S3=54.47 mA, S4=52.70 mA
12:59:11:904 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:12:099 -> 74943,2400,S0=54.85 mA, S1=50.97 mA, S2=66.20 mA, S3=54.90 mA, S4=42.00 mA
12:59:12:104 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=1.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:12:299 -> 75143,2400,S0=78.65 mA, S1=66.20 mA, S2=65.85 mA, S3=54.38 mA, S4=76.15 mA
12:59:12:304 -> FSR Live: PB0=0.00, PA7=1.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=3.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:12:499 -> 75343,2400,S0=61.95 mA, S1=56.68 mA, S2=65.65 mA, S3=54.13 mA, S4=43.45 mA
12:59:12:504 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=3.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:12:699 -> 75543,2400,S0=54.50 mA, S1=48.63 mA, S2=65.65 mA, S3=55.03 mA, S4=55.78 mA
12:59:12:704 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:12:899 -> 75743,2400,S0=57.93 mA, S1=48.65 mA, S2=65.62 mA, S3=53.83 mA, S4=53.45 mA
12:59:12:904 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:13:099 -> 75943,2400,S0=44.00 mA, S1=50.20 mA, S2=65.85 mA, S3=51.90 mA, S4=53.10 mA
12:59:13:104 -> FSR Live: PB0=0.00, PA7=0.00, PA6=21.00, PA5=1.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:13:299 -> 76143,2400,S0=54.47 mA, S1=49.55 mA, S2=65.77 mA, S3=53.05 mA, S4=52.50 mA
12:59:13:304 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:13:499 -> 76343,2400,S0=55.83 mA, S1=40.90 mA, S2=65.95 mA, S3=52.38 mA, S4=54.08 mA
12:59:13:504 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:13:699 -> 76543,2400,S0=54.75 mA, S1=48.80 mA, S2=66.18 mA, S3=52.30 mA, S4=53.97 mA
12:59:13:704 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:13:899 -> 76743,2400,S0=43.78 mA, S1=48.88 mA, S2=66.15 mA, S3=53.80 mA, S4=55.58 mA
12:59:13:904 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:14:099 -> 76943,2400,S0=54.90 mA, S1=49.45 mA, S2=68.50 mA, S3=51.65 mA, S4=75.47 mA
12:59:14:104 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:14:299 -> 77143,2400,S0=43.38 mA, S1=48.93 mA, S2=69.27 mA, S3=51.95 mA, S4=44.28 mA
12:59:14:304 -> FSR Live: PB0=0.00, PA7=0.00, PA6=22.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:14:371 -> Received: 0
12:59:14:371 -> Enter next command:
12:59:14:371 -> Moving servos (us): 2400
12:59:14:371 -> Moving servos (us): 2400
12:59:14:377 -> Moving servos (us): 2399
12:59:14:377 -> Moving servos (us): 2399
12:59:14:382 -> Moving servos (us): 2398
12:59:14:382 -> Moving servos (us): 2397
12:59:14:388 -> Moving servos (us): 2397
12:59:14:388 -> Moving servos (us): 2396
12:59:14:388 -> Moving servos (us): 2396
12:59:14:393 -> Moving servos (us): 2395
12:59:14:393 -> Moving servos (us): 2395
12:59:14:398 -> Moving servos (us): 2394
12:59:14:398 -> Moving servos (us): 2394
12:59:14:404 -> Moving servos (us): 2393
12:59:14:404 -> Moving servos (us): 2392
12:59:14:404 -> Moving servos (us): 2392
12:59:14:409 -> Moving servos (us): 2391
12:59:14:409 -> Moving servos (us): 2391
12:59:14:414 -> Moving servos (us): 2390
12:59:14:414 -> Moving servos (us): 2390
12:59:14:414 -> Moving servos (us): 2389
12:59:14:421 -> Moving servos (us): 2389
12:59:14:421 -> Moving servos (us): 2388
12:59:14:425 -> Moving servos (us): 2387
12:59:14:425 -> Moving servos (us): 2387
12:59:14:431 -> Moving servos (us): 2386
12:59:14:431 -> Moving servos (us): 2386
12:59:14:431 -> Moving servos (us): 2386
12:59:14:436 -> Moving servos (us): 2384
12:59:14:436 -> Moving servos (us): 2384
12:59:14:442 -> Moving servos (us): 2384
12:59:14:442 -> Moving servos (us): 2384
12:59:14:442 -> Moving servos (us): 2383
12:59:14:447 -> Moving servos (us): 2382
12:59:14:447 -> Moving servos (us): 2381
12:59:14:452 -> Moving servos (us): 2381
12:59:14:452 -> Moving servos (us): 2381
12:59:14:458 -> Moving servos (us): 2380
12:59:14:458 -> Moving servos (us): 2379
12:59:14:458 -> Moving servos (us): 2379
12:59:14:463 -> Moving servos (us): 2379
12:59:14:463 -> Moving servos (us): 2378
12:59:14:468 -> Moving servos (us): 2378
12:59:14:468 -> Moving servos (us): 2376
12:59:14:474 -> Moving servos (us): 2376
12:59:14:474 -> Moving servos (us): 2376
12:59:14:474 -> Moving servos (us): 2376
12:59:14:479 -> Moving servos (us): 2375
12:59:14:479 -> Moving servos (us): 2374
12:59:14:485 -> Moving servos (us): 2374
12:59:14:485 -> Moving servos (us): 2372
12:59:14:485 -> Moving servos (us): 2372
12:59:14:490 -> Moving servos (us): 2372
12:59:14:490 -> Moving servos (us): 2372
12:59:14:496 -> Moving servos (us): 2371
12:59:14:502 -> 77347,2371,S0=45.75 mA, S1=20.97 mA, S2=39.72 mA, S3=149.52 mA, S4=43.72 mA
12:59:14:507 -> FSR Live: PB0=0.00, PA7=0.00, PA6=23.00, PA5=0.00, PA4=0.00, PA3=4.00, PA2=0.00, PA1=0.00, PA0=0.00
12:59:14:513 -> Moving servos (us): 2366
12:59:14:518 -> Moving servos (us): 2366
12:59:14:518 -> Moving servos (us): 2365
12:59:14:524 -> Moving servos (us): 2364
12:59:14:524 -> Moving servos (us): 2364
12:59:14:524 -> Moving servos (us): 2363
12:59:14:529 -> Moving servos (us): 2363
12:59:14:529 -> Moving servos (us): 2362
12:59:14:534 -> Moving servos (us): 2361
12:59:14:534 -> Moving servos (us): 2361
12:59:14:540 -> Moving servos (us): 2361
12:59:14:540 -> Moving servos (us): 2360
12:59:14:540 -> Moving servos (us): 2360
12:59:14:545 -> Moving servos (us): 2358
12:59:14:545 -> Moving servos (us): 2358
12:59:14:551 -> Moving servos (us): 2358
12:59:14:551 -> Moving servos (us): 2358
12:59:14:556 -> Moving servos (us): 2357
12:59:14:556 -> Moving servos (us): 2356
12:59:14:556 -> Moving servos (us): 2356
12:59:14:561 -> Moving servos (us): 2355
12:59:14:561 -> Moving servos (us): 2355
12:59:14:567 -> Moving servos (us): 2354
12:59:14:567 -> Moving servos (us): 2353
12:59:14:567 -> Moving servos (us): 2353
12:59:14:572 -> Moving servos (us): 2353
12:59:14:572 -> Moving servos (us): 2352
12:59:14:578 -> Moving servos (us): 2352
12:59:14:578 -> Moving servos (us): 2351
12:59:14:583 -> Moving servos (us): 2350
12:59:14:583 -> Moving servos (us): 2350
12:59:14:583 -> Moving servos (us): 2349
12:59:14:588 -> Moving servos (us): 2349
12:59:14:588 -> Moving servos (us): 2348
12:59:14:594 -> Moving servos (us): 2348
12:59:14:594 -> Moving servos (us): 2347
12:59:14:594 -> Moving servos (us): 2346
12:59:14:599 -> Moving servos (us): 2346
12:59:14:599 -> Moving servos (us): 2346
12:59:14:605 -> Moving servos (us): 2345
12:59:14:605 -> Moving servos (us): 2344
12:59:14:610 -> Moving servos (us): 2344
12:59:14:610 -> Moving servos (us): 2343
12:59:14:610 -> Moving servos (us): 2343
12:59:14:615 -> Moving servos (us): 2343
12:59:14:615 -> Moving servos (us): 2341
12:59:14:622 -> Moving servos (us): 2341
12:59:14:622 -> Moving servos (us): 2341
12:59:14:626 -> Moving servos (us): 2341
12:59:14:626 -> Moving servos (us): 2340
12:59:14:626 -> Moving servos (us): 2339
12:59:14:632 -> Moving servos (us): 2338
12:59:14:632 -> Moving servos (us): 2338
12:59:14:637 -> Moving servos (us): 2337
12:59:14:637 -> Moving servos (us): 2337
12:59:14:637 -> Moving servos (us): 2336
12:59:14:643 -> Moving servos (us): 2336
12:59:14:643 -> Moving servos (us): 2336
12:59:14:648 -> Moving servos (us): 2335
12:59:14:648 -> Moving servos (us): 2334
12:59:14:653 -> Moving servos (us): 2333
12:59:14:653 -> Moving servos (us): 2333
12:59:14:653 -> Moving servos (us): 2332
12:59:14:659 -> Moving servos (us): 2332
12:59:14:659 -> Moving servos (us): 2332
12:59:14:664 -> Moving servos (us): 2331
12:59:14:664 -> Moving servos (us): 2331
12:59:14:664 -> Moving servos (us): 2329
12:59:14:670 -> Moving servos (us): 2329
12:59:14:670 -> Moving servos (us): 2329
12:59:14:675 -> Moving servos (us): 2329
12:59:14:675 -> Moving servos (us): 2328
12:59:14:680 -> Moving servos (us): 2327
12:59:14:680 -> Moving servos (us): 2326
12:59:14:680 -> Moving servos (us): 2326
12:59:14:686 -> Moving servos (us): 2326
12:59:14:686 -> Moving servos (us): 2325
12:59:14:691 -> Moving servos (us): 2324
12:59:14:691 -> Moving servos (us): 2324
12:59:14:696 -> Moving servos (us): 2324
