FSR Live: PB0=269.74, PA7=0.04, PA6=126.18, PA5=217.65, PA4=256.48, PA3=273.81, PA2=284.16, PA1=287.49, PA0=335.96
FSR Live: PB0=270.05, PA7=0.03, PA6=126.00, PA5=217.49, PA4=256.39, PA3=273.89, PA2=284.14, PA1=287.34, PA0=336.16
FSR Live: PB0=270.24, PA7=0.03, PA6=126.11, PA5=217.71, PA4=256.49, PA3=273.94, PA2=284.17, PA1=287.44, PA0=336.27
FSR Live: PB0=269.67, PA7=0.06, PA6=126.10, PA5=217.93, PA4=256.69, PA3=273.90, PA2=284.29, PA1=286.94, PA0=335.77
FSR Live: PB0=269.61, PA7=0.10, PA6=126.22, PA5=217.94, PA4=256.42, PA3=273.75, PA2=284.45, PA1=287.83, PA0=335.89
FSR Live: PB0=270.88, PA7=0.04, PA6=126.06, PA5=217.85, PA4=256.67, PA3=273.88, PA2=284.21, PA1=287.74, PA0=336.95
FSR Live: PB0=269.86, PA7=0.03, PA6=125.97, PA5=217.66, PA4=256.30, PA3=273.66, PA2=284.42, PA1=287.75, PA0=336.33
FSR Live: PB0=269.71, PA7=0.04, PA6=126.12, PA5=218.00, PA4=256.69, PA3=273.58, PA2=283.79, PA1=287.24, PA0=336.01
FSR Live: PB0=270.67, PA7=0.06, PA6=126.20, PA5=218.18, PA4=256.95, PA3=274.35, PA2=284.40, PA1=287.36, PA0=336.75
FSR Live: PB0=269.80, PA7=0.03, PA6=125.99, PA5=217.69, PA4=256.39, PA3=273.60, PA2=283.86, PA1=287.26, PA0=336.34
FSR Live: PB0=270.49, PA7=0.12, PA6=126.00, PA5=217.85, PA4=256.73, PA3=274.24, PA2=284.29, PA1=287.29, PA0=336.88
FSR Live: PB0=270.49, PA7=0.10, PA6=126.21, PA5=218.01, PA4=256.73, PA3=274.21, PA2=284.67, PA1=288.00, PA0=336.80
FSR Live: PB0=270.26, PA7=0.05, PA6=125.97, PA5=217.77, PA4=256.29, PA3=273.44, PA2=283.99, PA1=287.60, PA0=336.76
FSR Live: PB0=270.31, PA7=0.06, PA6=126.07, PA5=217.89, PA4=256.67, PA3=274.01, PA2=284.29, PA1=287.73, PA0=336.48
FSR Live: PB0=270.42, PA7=0.06, PA6=126.20, PA5=218.16, PA4=256.44, PA3=273.39, PA2=284.01, PA1=287.74, PA0=336.84
FSR Live: PB0=269.88, PA7=0.03, PA6=126.09, PA5=217.96, PA4=256.74, PA3=274.00, PA2=284.25, PA1=287.05, PA0=336.21
FSR Live: PB0=270.52, PA7=0.04, PA6=126.07, PA5=218.01, PA4=256.65, PA3=273.98, PA2=284.24, PA1=287.54, PA0=337.11
FSR Live: PB0=270.38, PA7=0.03, PA6=16.16, 2PA5=217.98, PA4=256.51, PA3=273.75, PA2=284.09, PA1=287.63, PA0=336.48
FSR Live: PB0=269.61, PA7=0.09, PA6=126.12, PA5=218.04, PA4=256.60, PA3=273.54, PA2=283.88, PA1=287.54, PA0=336.05
