17:56:47:818 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:818 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:818 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:818 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:818 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:818 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:819 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:820 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:820 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:820 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:820 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
17:56:47:821 -> , S1=0.00 mA, S2=0.00 mA, S3=0.00 mA, S4=-0.03 mA
