18:00:12:881 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:881 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:881 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:881 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:881 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:881 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:881 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:882 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
