18:15:14:227 -> FSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA6=30.20, PA5=0.04, PA4=0.00, PFSR Live: PB0=0.00, PA7=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:230 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:231 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:232 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
18:15:14:236 -> 5862,2400,S0=5.25 mA, A3=14.11, PA2=0.04, PA1=0.00, PA0=0.00
