09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:305 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:306 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
09:52:18:307 -> =0.00, PA3=11.00, PA2=0.00, PA1=0.00, PA0=0.00
