11:23:24:225 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:225 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:226 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:227 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:228 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:229 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:229 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:229 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:229 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
11:23:24:229 -> A4=0.00, PA3=16.00, PA2=0.00, PA1=0.00, PA0=0.00
